productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extIntellect,extLife,extCardSubType,extPower,extDefenseValue,extCost,extPitchValue
576967,Armory Deck: Dash,Armory Deck Dash,https://tcgplayer-cdn.tcgplayer.com/product/576967_200w.jpg,62,23738,https://cpt.tcgcsv.com/mPD6,2024-10-18T04:08:17.58,1,39.99,48.58,49.98,47.58,,Normal,,,,,,,,,,,
576973,Armory Deck: Dash Case,Armory Deck Dash Case,https://tcgplayer-cdn.tcgplayer.com/product/576973_200w.jpg,62,23738,https://cpt.tcgcsv.com/tPD6,2024-10-18T04:08:17.58,0,,,,,,,,,,,,,,,,,
586562,Dash I/O,Dash I O,https://tcgplayer-cdn.tcgplayer.com/product/586562_200w.jpg,62,23738,https://cpt.tcgcsv.com/gFJ6,2024-10-18T04:08:17.58,1,0.55,0.75,3.05,1.51,,Normal,Majestic,AIO001,Hero,Mechanologist,4,36,,,,,
586563,Symbiosis Shot,Symbiosis Shot,https://tcgplayer-cdn.tcgplayer.com/product/586563_200w.jpg,62,23738,https://cpt.tcgcsv.com/hFJ6,2024-10-18T04:08:17.58,1,3.89,3.89,5.46,1.18,,Normal,Common,AIO002,Equipment,Mechanologist,,,Gun (2H),2,,,
586564,Heavy Industry Surveillance,Heavy Industry Surveillance,https://tcgplayer-cdn.tcgplayer.com/product/586564_200w.jpg,62,23738,https://cpt.tcgcsv.com/jFJ6,2024-10-18T04:08:17.58,1,0.59,1.0,2.55,0.81,,Rainbow Foil,Majestic,AIO003,Equipment,Mechanologist,,,Head,,1,,
586565,Heavy Industry Power Plant,Heavy Industry Power Plant,https://tcgplayer-cdn.tcgplayer.com/product/586565_200w.jpg,62,23738,https://cpt.tcgcsv.com/kFJ6,2024-10-18T04:08:17.58,1,0.49,1.0,4.22,0.75,,Rainbow Foil,Majestic,AIO004,Equipment,Mechanologist,,,Chest,,2,,
586566,Heavy Industry Ram Stop,Heavy Industry Ram Stop,https://tcgplayer-cdn.tcgplayer.com/product/586566_200w.jpg,62,23738,https://cpt.tcgcsv.com/lFJ6,2024-10-18T04:08:17.58,1,0.49,0.82,2.1,0.52,,Rainbow Foil,Majestic,AIO005,Equipment,Mechanologist,,,Arms,,1,,
586567,Heavy Industry Gear Shift,Heavy Industry Gear Shift,https://tcgplayer-cdn.tcgplayer.com/product/586567_200w.jpg,62,23738,https://cpt.tcgcsv.com/mFJ6,2024-10-18T04:08:17.58,1,2.19,2.45,12.31,2.36,,Rainbow Foil,Majestic,AIO006,Equipment,Mechanologist,,,Legs,,1,,
586568,Data Link (Red),Data Link Red,https://tcgplayer-cdn.tcgplayer.com/product/586568_200w.jpg,62,23738,https://cpt.tcgcsv.com/nFJ6,2024-10-18T04:08:17.58,1,0.15,0.25,1.53,0.25,,Normal,Common,AIO007,Action,Mechanologist,,,Attack,3,3,0,1
586569,Dive Through Data (Red),Dive Through Data Red,https://tcgplayer-cdn.tcgplayer.com/product/586569_200w.jpg,62,23738,https://cpt.tcgcsv.com/pFJ6,2024-10-18T04:08:17.58,1,0.25,0.35,1.64,0.32,,Normal,Common,AIO008,Action,Mechanologist,,,Attack,4,3,1,1
