productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extCardSubType,extClass,extTalent,extIntellect,extLife,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extPower,extDefenseValue,extCost,extPitchValue
577202,Florian,Florian,https://tcgplayer-cdn.tcgplayer.com/product/577202_200w.jpg,62,23741,https://cpt.tcgcsv.com/3VD6,2024-09-20T04:08:44,1,Rare,FLR001,Hero,Young,Runeblade,Elemental,4,20,4.5,6.71,15.0,6.92,,Rainbow Foil,,,,
577203,Rotwood Reaper,Rotwood Reaper,https://tcgplayer-cdn.tcgplayer.com/product/577203_200w.jpg,62,23741,https://cpt.tcgcsv.com/5VD6,2024-09-20T04:08:44,1,Common,FLR002,Weapon,Sword (2H),Runeblade,Earth,,,0.24,0.25,0.3,0.15,,Normal,2,,,
577204,Helm of Lignum Vitae,Helm of Lignum Vitae,https://tcgplayer-cdn.tcgplayer.com/product/577204_200w.jpg,62,23741,https://cpt.tcgcsv.com/6VD6,2024-09-20T04:08:44,1,Common,FLR003,Equipment,Head,,Earth,,,0.15,0.25,0.3,,,Normal,,1,,
577205,Bloodtorn Bodice,Bloodtorn Bodice,https://tcgplayer-cdn.tcgplayer.com/product/577205_200w.jpg,62,23741,https://cpt.tcgcsv.com/7VD6,2024-09-20T04:08:44,1,Common,FLR004,Equipment,Chest,Runeblade,,,,0.15,0.25,0.3,0.15,,Normal,,0,,
577206,Runehold Release,Runehold Release,https://tcgplayer-cdn.tcgplayer.com/product/577206_200w.jpg,62,23741,https://cpt.tcgcsv.com/8VD6,2024-09-20T04:08:44,1,Common,FLR005,Equipment,Arms,Runeblade,,,,0.2,0.25,0.3,0.25,,Normal,,0,,
577207,Well Grounded,Well Grounded,https://tcgplayer-cdn.tcgplayer.com/product/577207_200w.jpg,62,23741,https://cpt.tcgcsv.com/9VD6,2024-09-20T04:08:44,1,Common,FLR006,Equipment,Legs,,Earth,,,0.24,0.25,0.3,0.23,,Normal,,0,,
577208,Cadaverous Tilling (Red),Cadaverous Tilling Red,https://tcgplayer-cdn.tcgplayer.com/product/577208_200w.jpg,62,23741,https://cpt.tcgcsv.com/bVD6,2024-09-20T04:08:44,1,Common,FLR007,Action,Attack,,Earth,,,0.25,0.29,0.3,0.28,,Normal,6,2,3,1
577209,Fruits of the Forest (Red),Fruits of the Forest Red,https://tcgplayer-cdn.tcgplayer.com/product/577209_200w.jpg,62,23741,https://cpt.tcgcsv.com/cVD6,2024-09-20T04:08:44,1,Common,FLR008,Action,Attack,,Earth,,,0.2,0.25,0.3,0.18,,Normal,7,2,3,1
577210,Runerager Swarm (Red),Runerager Swarm Red,https://tcgplayer-cdn.tcgplayer.com/product/577210_200w.jpg,62,23741,https://cpt.tcgcsv.com/dVD6,2024-09-20T04:08:44,1,Common,FLR009,Action,Attack,Runeblade,Earth,,,0.13,0.24,0.3,,,Normal,3,3,0,1
577211,Vantage Point (Red),Vantage Point Red,https://tcgplayer-cdn.tcgplayer.com/product/577211_200w.jpg,62,23741,https://cpt.tcgcsv.com/fVD6,2024-09-20T04:08:44,1,Rare,FLR010,Action,Attack,Runeblade,,,,0.15,0.25,0.3,,,Normal,7,3,3,1
577212,Rootbound Carapace (Red),Rootbound Carapace Red,https://tcgplayer-cdn.tcgplayer.com/product/577212_200w.jpg,62,23741,https://cpt.tcgcsv.com/gVD6,2024-09-20T04:08:44,1,Rare,FLR011,Defense Reaction,,,Earth,,,1.25,1.26,1.31,1.23,,Normal,,3,0,1
577213,Arcane Cussing (Red),Arcane Cussing Red,https://tcgplayer-cdn.tcgplayer.com/product/577213_200w.jpg,62,23741,https://cpt.tcgcsv.com/hVD6,2024-09-20T04:08:44,1,Common,FLR012,Action,Aura,Runeblade,,,,2.15,2.33,12.0,2.36,,Normal,,2,1,1
577214,Arcane Seeds // Life,Arcane Seeds Life,https://tcgplayer-cdn.tcgplayer.com/product/577214_200w.jpg,62,23741,https://cpt.tcgcsv.com/jVD6,2025-04-03T16:43:19.39,1,Rare,FLR013,Action;Instant,,Runeblade,Earth,,,0.39,0.45,0.75,0.32,,Normal,,3,0,1
577215,Deadwood Dirge (Red),Deadwood Dirge Red,https://tcgplayer-cdn.tcgplayer.com/product/577215_200w.jpg,62,23741,https://cpt.tcgcsv.com/kVD6,2024-09-20T04:08:44,1,Common,FLR014,Action,,Runeblade,,,,0.29,0.45,0.5,0.3,,Normal,,2,0,1
